,Date,ID,url,username,source,location,tweet,num_of_likes,num_of_retweet
72,2022-08-29 16:46:22+00:00,1564293393395613698,https://twitter.com/ZacBoyer/status/1564293393395613698,ZacBoyer,Twitter Web App,"Lawrence, KS","Kansas coach Lance Leipold on the QBs: ""I'm comfortable with either one being on the field, but Jalon Daniels will be the starter."" #kufball",19,0
73,2022-08-29 16:45:37+00:00,1564293202034712577,https://twitter.com/ZacBoyer/status/1564293202034712577,ZacBoyer,Twitter Web App,"Lawrence, KS",Kansas coach Lance Leipold said Jalon Daniels will be one of the team's captains this season. #kufball,15,0
74,2022-08-29 16:45:25+00:00,1564293153213005825,https://twitter.com/ZacBoyer/status/1564293153213005825,ZacBoyer,Twitter Web App,"Lawrence, KS",Kansas coach Lance Leipold said Jalon Daniels will definitively start against Tennessee Tech but does not want to slight Jason Bean's performance in practice in recent weeks. #kufball,25,4
75,2022-08-17 18:45:17+00:00,1559974665954754563,https://twitter.com/ChasenScott/status/1559974665954754563,ChasenScott,Twitter Web App,"Kansas City, MO","NEW episode of Booth Review!

@kent_swanson and I were joined by former KU QB Carter Stanley (@carter_stanley9), who gave his thoughts on Jalon Daniels, Lance Leipold + a couple stories I hadn't heard before.

Apple pods: https://t.co/As4XIVgIPS
Spotify: https://t.co/lMg6NXkYmY",19,4
76,2022-08-13 15:59:02+00:00,1558483273399033856,https://twitter.com/ZacBoyer/status/1558483273399033856,ZacBoyer,Twitter Web App,"Lawrence, KS","Kansas quarterbacks coach Jim Zebrowski said Jalon Daniels was given the Week 1 starting nod by Lance Leipold because of the finish to last season, his strong performance during spring and because he's showing up every day to compete. #kufball",30,0
77,2022-08-08 20:00:39+00:00,1556732141928648704,https://twitter.com/KCStar/status/1556732141928648704,KCStar,True Anthem,"Kansas City, Mo. ","Jalon Daniels, who is expected to be the starter at QB this season after starting the last three games in 2021, continues to fare well at camp, Lance Leipold said.  https://t.co/Qtibn4zz88",6,1
78,2022-08-08 18:38:50+00:00,1556711548751646721,https://twitter.com/kansasdotcom/status/1556711548751646721,kansasdotcom,True Anthem,"Wichita, KS","Jalon Daniels, who is expected to be the starter at QB this season after starting the last three games in 2021, continues to fare well at camp, Lance Leipold said.  https://t.co/3GNDqvG1Vt",0,0
79,2022-08-08 18:37:25+00:00,1556711191703166976,https://twitter.com/SportsDailyKC/status/1556711191703166976,SportsDailyKC,True Anthem,"Kansas City, MO","Jalon Daniels, who is expected to be the starter at QB this season after starting the last three games in 2021, continues to fare well at camp, Lance Leipold said.  https://t.co/pBDLdN0B7h",1,0
80,2022-08-03 21:56:54+00:00,1554949456390488072,https://twitter.com/ZacBoyer/status/1554949456390488072,ZacBoyer,Twitter Web App,"Lawrence, KS","If Jason Bean was disappointed that coach Lance Leipold expects Jalon Daniels to begin the season as the starting QB, he didn't show it.

""I'm here to once again make myself better and do anything I can to make my team better,"" Bean said. #kufball 

https://t.co/2ql6aYQsXD",11,0
81,2022-08-03 21:30:03+00:00,1554942697886056448,https://twitter.com/ctbecker/status/1554942697886056448,ctbecker,Twitter Web App,"Lawrence, Kansas","Kansas coach Lance Leipold named Jalon Daniels the probable starter on Tuesday. Daniels opened up on Leipold's comments Wednesday and shared his thoughts on earning the top job.

Read more in my notebook: #kufball https://t.co/NoVbLYo700",20,2
82,2022-08-03 19:26:00+00:00,1554911479736012814,https://twitter.com/KUsports/status/1554911479736012814,KUsports,TweetDeck,"Lawrence, KS, USA","Jalon Daniels hasn't spoken with Lance Leipold about being Kansas' starting QB come Week 1, but he insisted the label won't change his approach to training camp, @ZacBoyer writes. #kufball

https://t.co/8o4VmqbCz7",17,2
83,2022-08-03 16:12:12+00:00,1554862710432710656,https://twitter.com/ZacBoyer/status/1554862710432710656,ZacBoyer,Twitter Web App,"Lawrence, KS","Kansas QB Jalon Daniels said he hasn't had many conversations with Lance Leipold about starting in Week 1. ""It doesn't really mean anything to me other than I get to go out there and show people what I can do."" #kufball",6,0
84,2022-08-03 16:12:04+00:00,1554862673648648193,https://twitter.com/JordanGuskey/status/1554862673648648193,JordanGuskey,TweetDeck,"Lawrence, KS","Jalon Daniels, on being the expected starter, says he hasn't really talked with Lance Leipold about it because preparation doesn't change. On what it means to him, Daniels said it doesn't mean a lot outside of being able to play. #kufball",26,1
85,2022-08-03 15:54:13+00:00,1554858184749322247,https://twitter.com/Vince_Lovergine/status/1554858184749322247,Vince_Lovergine,Twitter for Android,,"KU OC Andy Kotelnicki at the podium talking about Jalon Daniels and Jason Bean.

Lance Leipold announced Daniels will be the starting QB yesterday.

Kotelnicki says they have a lot of confidence in Daniels but he's been very impressed with Bean this spring and camp so far. https://t.co/3ZIx2aUugC",2,1
86,2022-08-03 15:52:00+00:00,1554857627078856710,https://twitter.com/ZacBoyer/status/1554857627078856710,ZacBoyer,Twitter Web App,"Lawrence, KS","Kansas offensive coordinator Andy Kotelnicki said he feels good with Lance Leipold's proclamation that Jalon Daniels would start the opener. ""Going into the fall with two guys who have started games, you're kind of blessed, you know?"" #kufball",11,0
87,2022-08-03 15:00:03+00:00,1554844552053358596,https://twitter.com/kansas247/status/1554844552053358596,kansas247,TweetDeck,"Lawrence, Kansas","Lance Leipold expects Jalon Daniels to start, goes in-depth on the dynamic of the QB competition. #KUfball

Story: https://t.co/UeCPUk8wFl https://t.co/jbZcogG4Y2",15,0
88,2022-08-03 14:16:23+00:00,1554833563555471360,https://twitter.com/mctait/status/1554833563555471360,mctait,TweetDeck,"Lawrence, KS, USA","During this morning's start to #KUfball practice, coach Lance Leipold shouted to the media corner, ""Jalon's the quarterback!"" He's having fun with this. But it's definitely new territory for KU fans, who have become awfully used to not knowing the identity of the QB until Game 1",228,12
89,2022-08-03 08:30:05+00:00,1554746415259205638,https://twitter.com/wibw/status/1554746415259205638,wibw,SocialNewsDesk,Kansas,"The wait is now over as Kansas head coach Lance Leipold announced quarterback Jalon Daniels will start under center for the Jayhawks, beating out 2021 starter Jason Bean. https://t.co/ahFXpB4W8D",0,0
90,2022-08-02 20:14:55+00:00,1554561404178501634,https://twitter.com/MSwain247/status/1554561404178501634,MSwain247,Twitter Web App,,"This was by far my favorite moment from today's #KUfball media availability.

""If you want to type 'Lance Leipold expects Jalon Daniels to be the starter' then go ahead and type it.""

And guess what? I typed it: https://t.co/MnJp4W1GCR https://t.co/kTzZOiZV2j",56,4
91,2022-08-02 18:30:10+00:00,1554535043791523846,https://twitter.com/salinajournal/status/1554535043791523846,salinajournal,SocialNewsDesk,"Salina, KS, US, 67401",Lance Leipold and Kansas football opened fall camp today. The head coach said he expects Jalon Daniels to start at quarterback week one. https://t.co/Og4xwyckOH,0,0
92,2022-08-02 18:30:10+00:00,1554535043728564225,https://twitter.com/CJOnline/status/1554535043728564225,CJOnline,SocialNewsDesk,"Topeka, KS",Lance Leipold and Kansas football opened fall camp today. The head coach said he expects Jalon Daniels to start at quarterback week one. https://t.co/UAH4fGRyUn,0,0
93,2022-08-02 18:30:10+00:00,1554535043434962944,https://twitter.com/saljsports/status/1554535043434962944,saljsports,SocialNewsDesk,"Salina, Kansas",Lance Leipold and Kansas football opened fall camp today. The head coach said he expects Jalon Daniels to start at quarterback week one. https://t.co/5D61Bt58GT,0,0
94,2022-08-02 18:30:10+00:00,1554535043296595968,https://twitter.com/CJOnlinesports/status/1554535043296595968,CJOnlinesports,SocialNewsDesk,"Topeka, KS",Lance Leipold and Kansas football opened fall camp today. The head coach said he expects Jalon Daniels to start at quarterback week one. https://t.co/Fk8ITabkFU,0,0
95,2022-08-02 18:30:10+00:00,1554535043263074305,https://twitter.com/hutchsports/status/1554535043263074305,hutchsports,SocialNewsDesk,"Hutchinson, KS",Lance Leipold and Kansas football opened fall camp today. The head coach said he expects Jalon Daniels to start at quarterback week one. https://t.co/Tq7K1X6bbt,0,0
96,2022-08-02 18:30:10+00:00,1554535043250388992,https://twitter.com/HutchNews/status/1554535043250388992,HutchNews,SocialNewsDesk,"Hutchinson, KS",Lance Leipold and Kansas football opened fall camp today. The head coach said he expects Jalon Daniels to start at quarterback week one. https://t.co/earBQ9Lmjg,1,0
97,2022-08-02 18:23:57+00:00,1554533478930194432,https://twitter.com/TalkinHawks/status/1554533478930194432,TalkinHawks,Twitter for iPhone,,"Lance Leipold came out and named Jalon Daniels the starting QB after day one of fall camp. I love that. That means JD had a good summer and the team and staff are confident he’s the guy. 

Side note: Leipold is so sharp and thoughtful in press conferences. He’s got a plan.",140,10
98,2022-08-02 18:19:46+00:00,1554532422758326275,https://twitter.com/KUsports/status/1554532422758326275,KUsports,TweetDeck,"Lawrence, KS, USA","Kansas coach Lance Leipold is planning for Jalon Daniels to be the Jayhawks' starting QB come Week 1.

That has seemed likely since the end of last season, @ZacBoyer writes. #kufball

https://t.co/REBNyOhrtM",14,0
99,2022-08-02 16:02:27+00:00,1554497868920246272,https://twitter.com/ZacBoyer/status/1554497868920246272,ZacBoyer,Twitter Web App,"Lawrence, KS",Kansas coach Lance Leipold said he expects Jalon Daniels to be the starting quarterback for the opener against Tennessee Tech in a month. #kufball,5,1
100,2022-08-02 15:57:42+00:00,1554496670708137987,https://twitter.com/MSwain247/status/1554496670708137987,MSwain247,TweetDeck,,"Lance Leipold on the QBs: ""If you want to type 'Lance Leipold expects Jalon Daniels to be the starter' then go ahead and type it."" #KUfball",55,2
